imdbid,title,rating,director,cast,duration,descripton
tt9200666,Wenn's um Liebe geht (TV Movie 2019),NA,Wolfgang Eissler,"Maximilian Arland,Till Florian Beyerbach,Inez BjÃ¸rg David,Cristina do Rego",1H30M,"Wenn's um Liebe geht is a TV movie starring Maximilian Arland, Till Florian Beyerbach, and Inez BjÃ¸rg David. After a singing performance at a wedding, Laura receives the offer to perform at a song contest."
tt9200888,ShÃ»tome musume no gaikÃ¢ (1940),NA,Takeshi Sato,"Akira Tachibana,Hisako Yamane,IchirÃ´ Sugai,YÃ´ko Yaguchi",57M,NA
tt9201016,Die Unvergessliche (TV Movie 1955),NA,Werner VÃ¶lger,"Aglaja Schmid,Berta Drews",1H15M,NA
tt9201410,"""A Million Little Things"" Christmas Wishlist (TV Episode 2018)",9,Nina Lopez-Corrado,"David Giuntoli,Romany Malco,Allison Miller,Christina Moses",NA,"Christmas Wishlist is an episode of A Million Little Things starring David Giuntoli, Romany Malco, and Allison Miller. Delilah struggles with telling Sophie and Danny about her pregnancy; The gang comes together to embrace the..."
tt9201412,"""A Million Little Things"" Secrets and Lies (TV Episode 2019)",8.9,James Griffiths,"David Giuntoli,Romany Malco,Allison Miller,Christina Moses",NA,"Secrets and Lies is an episode of A Million Little Things starring David Giuntoli, Romany Malco, and Allison Miller. Delilah must rely on Katherine to help her family; Maggie insists on running the Suicide Prevention 5K."
tt9201592,"Gershwin, le classique amÃ©ricain (TV Movie 2018)",NA,Jean-FrÃ©dÃ©ric Thibault,"Naomi Andre,Fabien Autin,Mark Clague,Lionel Eskenazi",52M,NA
tt9201848,"""NCIS: New Orleans"" Tick Tock (TV Episode 2018)",7.8,Stacey K. Black,"Scott Bakula,Lucas Black,Vanessa Ferlito,Necar Zadegan",NA,"Tick Tock is an episode of NCIS: New Orleans starring Scott Bakula, Lucas Black, and Vanessa Ferlito. Pride is forced to free an old adversary when his friends are held hostage. In the meantime Pride's angel is hanging around for no..."
tt9201996,Don't Watch This (TV Mini-Series 2018â€“ ),3.2,NA,"Kattrena Clarke,Makenzie Coleman,Deja Cruz,Kashia Galvan",NA,"Don't Watch This is a TV mini-series starring Kattrena Clarke, Makenzie Coleman, and Deja Cruz. A collection of very short horror films."
tt9202076,A PÃ¡sztor,NA,LÃ¡szlÃ³ IllÃ©s,"MiklÃ³s SzÃ©kely B.,Ãkos HorvÃ¡th,TamÃ¡s JordÃ¡n,JÃ³kai Ãgnes",NA,"A PÃ¡sztor is a movie starring MiklÃ³s SzÃ©kely B., Ãkos HorvÃ¡th, and TamÃ¡s JordÃ¡n. Hungary, 1944 - The main character is an old shepherd, who lives alone on a ranch. After his daughter got killed by Nazis, he decided in his grief to..."
tt9202096,Christmas Bells Are Ringing (TV Movie 2018),6.6,Pat Williams,"Emilie Ullerup,Josh Kelly,Mark Humphrey,Rebecca Staab",1H30M,"Christmas Bells Are Ringing is a TV movie starring Emilie Ullerup, Josh Kelly, and Mark Humphrey. Samantha ""Emilie Ullerup"" is a free lance photographer. She is on her way to Cape Cod to celebrate her father's Christmas Eve wedding...."
tt9202258,Doci ce zuti ljudi sa istoka i piti vodu sa Morave (2018),NA,Tanja Brzakovic,NA,NA,NA
tt9202340,Die Mauritiusmarke (1912),NA,Rudolf Del Zopp,"Rudolf Del Zopp,Werner Franz,Oskar Fuchs,Heinrich Gotho",NA,NA
tt9202536,Myshko ta Misyachna Dzvinka (TV Series 2016â€“ ),NA,NA,NA,NA,NA
tt9202558,Accompagnata dalla solitudine (2018),NA,Vits,"Nicolina Longo,Oscar Ayuso,Gustavo Alejandro Gomez,Marco Bernardi",15M,"Accompagnata dalla solitudine is a short starring Nicolina Longo, Oscar Ayuso, and Gustavo Alejandro Gomez. There's only one person left on Earth. For some reason, finishing her novel is her priority."
tt9202710,Lost (2016),NA,Svitlana Shymko,NA,9M,NA
tt9202810,Tau Ceti Four,NA,John McTiernan,"Travis Fimmel,Uma Thurman",NA,Tau Ceti Four is a movie starring Travis Fimmel and Uma Thurman. A group of rebels set out to kill the oligarchs and military thugs who terrorize a war-torn planet in the remote Tau Ceti solar system.
tt9202940,Thomas Sanders & Friends (TV Series 2018â€“ ),NA,NA,"Thomas Sanders,Joan Stokes,Camden Foote,Talyn",NA,"Thomas Sanders & Friends is a TV series starring Thomas Sanders, Joan Stokes, and Camden Foote. Thomas and his friends keep on playing fun games, talking about and giving visibility to important issues and bringing some light into..."
tt9203042,Brainchild (TV Series 2018â€“ ),7.6,NA,"Sahana Srinivasan,Alie Ward,Gary T. Carlin,Taylor Nirvana Jones",NA,"Brainchild is a TV series starring Sahana Srinivasan, Alie Ward, and Gary T. Carlin. Educational series that introduces a number of scientific topics to young audiences."
tt9203064,Kulipari: Dream Walker (TV Series 2018â€“ ),7.8,NA,"Mark Hamill,Josh Keaton,Phil LaMarr,Candi Milo",NA,"Kulipari: Dream Walker is a TV series starring Mark Hamill, Josh Keaton, and Phil LaMarr. Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari..."
tt9203168,Moromete Family: On the Edge of Time (2018),7.8,Stere Gulea,"Horatiu Malaele,Iosif Pastina,Dana Dogaru,Razvan Vasilescu",1H50M,"Moromete Family: On the Edge of Time is a movie starring Horatiu Malaele, Iosif Pastina, and Dana Dogaru. A sequel to Morometii (1987), the tale follows the life of the Moromete family after WWII, with Romania being overpowered by..."
tt9203202,First Impression (TV Movie 2018),5.3,Arthur Muhammad,"Lisa Arrindell,Che Broadway,Les Brown,Kendrick Cross",1H36M,"First Impression is a TV movie starring Lisa Arrindell, Che Broadway, and Les Brown. VERNON RICHARDSON and IMANI TOWNSEND meet unexpectedly at a cozy Jazz club, unpretentious, and unaware, they're a match made for heaven on a..."
tt9203672,Le jour oÃ¹ j'ai brÃ»lÃ© mon coeur (TV Movie 2018),6.5,Christophe Lamotte,"MichaÃ«l Youn,Camille Chamoux,ClÃ©ment Manuel,Sarah Stern",1H38M,"Le jour oÃ¹ j'ai brÃ»lÃ© mon coeur is a TV movie starring MichaÃ«l Youn, Camille Chamoux, and ClÃ©ment Manuel. After being bullied for months at school, 16-year-old Jonathan douses himself with gasoline and lights a match. Now, in an..."
tt9203780,Rage of Bahamut: Manaria Friends (TV Series 2019â€“ ),6.1,NA,NA,NA,NA
tt9204086,The Making of Milfs vs Zombies (Video 2015),NA,NA,"Rosanna Nelson,Brandy Peeples,Matthew L. Furman,Patrick Opitz",NA,NA
tt9204204,Little Joe (2019),5.6,Jessica Hausner,"Jessie Mae Alonzo,Emily Beecham,Leanne Best,PhÃ©nix Brossard",1H40M,"Little Joe is a movie starring Jessie Mae Alonzo, Emily Beecham, and Leanne Best. Alice, a single mother, is a dedicated senior plant breeder at a corporation engaged in developing new species. Against company policy, she takes one..."
tt9204364,Cena di Notte (2018),NA,CÃ©sar GonzÃ¡lez Ãlvarez,"Catalina SolÃ­s Mata,Juan Gerardo MuÃ±oz",17M,"Cena di Notte is a short starring Catalina SolÃ­s Mata and Juan Gerardo MuÃ±oz. A couple in love meet every afternoon to have dinner. The lack of communication and the displeasure begin to be the main ingredients of the menu, and the..."
